country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,5.7,,,,,6.3,,,,,5.1,,,,,4.8,4.7
Albania,5.5,,,,,6.7,,,,,7.8,,,,,6,6.3
Algeria,4.1,,,,,3.8,,,,,3.3,,,,,3.2,3.2
Angola,7.9,,,,,7.2,,,,,5.7,,,,,5,4.7
Antigua and Barbuda,2,,,,,1.2,,,,,0.3,,,,,0.8,0.5
Argentina,9.5,,,,,9,,,,,8.7,,,,,8.8,9.2
Armenia,3.3,,,,,4.4,,,,,6,,,,,7,6.6
Australia,13.2,,,,,12.3,,,,,12.5,,,,,13.8,13.2
Austria,20,,,,,17.3,,,,,16,,,,,16,15.6
Azerbaijan,2.2,,,,,3.2,,,,,3.1,,,,,2.7,2.6
Bahamas,2,,,,,2.2,,,,,2,,,,,1.8,1.7
Bahrain,6.7,,,,,7,,,,,5.2,,,,,5.9,5.9
Bangladesh,6.7,,,,,6.3,,,,,6.4,,,,,6.1,5.9
Barbados,2.1,,,,,3.7,,,,,2.1,,,,,0.7,0.8
Belarus,43.1,,,,,45.1,,,,,38.2,,,,,26.3,26.2
Belgium,22.7,,,,,21.2,,,,,21.3,,,,,20.1,20.7
Belize,5.5,,,,,4.9,,,,,4.9,,,,,4.8,4.7
Benin,9.5,,,,,9.7,,,,,9.6,,,,,9.9,9.9
Bhutan,12.4,,,,,12.2,,,,,11.1,,,,,11.6,11.4
Bolivia,16.4,,,,,15.3,,,,,14.1,,,,,12.4,12.2
Bosnia and Herzegovina,10.7,,,,,9.3,,,,,8,,,,,8.9,8.8
Botswana,11.8,,,,,12.6,,,,,11.1,,,,,9.7,9.3
Brazil,4.8,,,,,5.5,,,,,5.7,,,,,6.5,6.5
Brunei,2.8,,,,,3.3,,,,,3.7,,,,,4.5,4.6
Bulgaria,18.5,,,,,13.4,,,,,12.5,,,,,11.4,11.5
Burkina Faso,8.2,,,,,7.6,,,,,7.5,,,,,7.7,7.7
Burundi,7.1,,,,,8.4,,,,,9,,,,,8.9,9.1
Cambodia,5.6,,,,,5.9,,,,,5.4,,,,,5.3,5.3
Cameroon,13.3,,,,,11.9,,,,,11.7,,,,,12.3,12.2
Canada,13,,,,,13.2,,,,,13,,,,,12.5,12.5
Cape Verde,9.4,,,,,10.1,,,,,11.1,,,,,11,11.3
Central African Republic,8.8,,,,,8.8,,,,,9.5,,,,,8.1,7.7
